lambda            n
2.44738130   1.45377655
2.44798042   1.45371405
2.44857982   1.45364736
2.44917952   1.45358016
2.44977952   1.45351786
2.45037981   1.45345048
2.45098039   1.45338919
2.45158127   1.45332239
2.45218244   1.45325616
2.45278391   1.45319750
2.45338567   1.45313324
2.45398773   1.45307761
2.45459008   1.45301638
2.45519273   1.45296427
2.45579568   1.45290709
2.45639892   1.45285520
2.45700246   1.45280623
2.45760629   1.45275491
2.45821042   1.45271303
2.45881485   1.45266432
2.45941958   1.45262546
2.46002460   1.45257916
2.46062992   1.45254195
2.46123554   1.45250005
2.46184146   1.45246075
2.46244767   1.45242772
2.46305419   1.45238899
2.46366100   1.45236294
2.46426811   1.45232805
2.46487552   1.45230648
2.46548323   1.45227583
2.46609125   1.45224741
2.46669956   1.45223281
2.46730817   1.45220893
2.46791708   1.45219898
2.46852629   1.45217936
2.46913580   1.45217354
2.46974562   1.45215747
2.47035573   1.45215522
2.47096615   1.45214228
2.47157687   1.45213384
2.47218789   1.45213306
2.47279921   1.45212403
2.47341083   1.45212892
2.47402276   1.45212190
2.47463499   1.45212885
2.47524752   1.45212332
2.47586036   1.45212404
2.47647350   1.45212722
2.47708695   1.45212277
2.47770069   1.45213259
2.47831475   1.45212829
2.47892910   1.45213853
2.47954376   1.45213401
2.48015873   1.45212907
2.48077400   1.45213937
2.48138958   1.45213389
2.48200546   1.45214413
2.48262165   1.45213815
2.48323814   1.45213181
2.48385494   1.45214216
2.48447205   1.45213584
2.48508946   1.45214658
2.48570718   1.45214082
2.48632521   1.45213763
2.48694355   1.45214778
2.48756219   1.45214423
2.48818114   1.45215762
2.48880040   1.45215627
2.48941997   1.45216765
2.49003984   1.45217180
2.49066002   1.45217615
2.49128052   1.45218960
2.49190132   1.45219275
2.49252243   1.45220826
2.49314385   1.45221230
2.49376559   1.45222750
2.49438763   1.45223239
2.49500998   1.45223805
2.49563264   1.45225301
2.49625562   1.45225951
2.49687890   1.45227429
2.49750250   1.45228182
2.49812641   1.45229389
2.49875062   1.45230526
2.49937516   1.45231503
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50000000   1.45233029
2.50031254   1.45233585
2.50031254   1.45233585
2.50031254   1.45233585
2.50031254   1.45233585
2.50062516   1.45234171
2.50062516   1.45234171
2.50062516   1.45234171
2.50062516   1.45234171
2.50062516   1.45234171
2.50093785   1.45234791
2.50093785   1.45234791
2.50093785   1.45234791
2.50093785   1.45234791
2.50125063   1.45235756
2.50125063   1.45235756
2.50125063   1.45235756
2.50125063   1.45235756
2.50125063   1.45235756
2.50156348   1.45236416
2.50156348   1.45236416
2.50156348   1.45236416
2.50156348   1.45236416
2.50187641   1.45237115
2.50187641   1.45237115
2.50187641   1.45237115
